c2,s,BandGap1,BandGap2,BandGap3,BandGap4,BandGap5,BandGap6,BandGap7
14.7,0.01,0.13747,0.27427,0.40975,0.54327,0.67414,0.80182,0.92552
14.85,0.01,0.13829,0.27592,0.4122,0.54653,0.67817,0.80661,0.93104
15,0.01,0.13911,0.27755,0.41464,0.54976,0.68218,0.81137,0.93653
0.15,0.02,0.043745,0.087353,0.13094,0.17413,0.21737,0.26004,0.30306
0.3,0.02,0.042559,0.08508,0.12764,0.1701,0.2127,0.2552,0.2981
0.45,0.02,0.035169,0.070304,0.10542,0.14044,0.17547,0.21037,0.24538
0.6,0.02,0.025878,0.051714,0.077483,0.10313,0.12866,0.15399,0.1792
0.75,0.02,0.016091,0.032142,0.048117,0.063972,0.079683,0.095199,0.11051
0.9,0.02,0.006351,0.01268,0.018968,0.025191,0.031331,0.037365,0.043277
1.05,0.02,0.0031202,0.0062273,0.009308,0.012349,0.015338,0.018263,0.021109
1.2,0.02,0.012238,0.024414,0.036467,0.048339,0.059964,0.07129,0.082251
1.35,0.02,0.020977,0.041836,0.062451,0.082712,0.10249,0.12169,0.14017
1.5,0.02,0.029344,0.058503,0.087282,0.11551,0.14299,0.16957,0.19505
1.65,0.02,0.037354,0.074451,0.11102,0.14683,0.1816,0.21513,0.24712
1.8,0.02,0.045031,0.089728,0.13374,0.17677,0.21845,0.25853,0.29665
1.95,0.02,0.052397,0.10438,0.15552,0.20543,0.25369,0.29998,0.34385
2.1,0.02,0.059476,0.11846,0.17642,0.23293,0.28745,0.33965,0.38896
2.25,0.02,0.06629,0.132,0.19653,0.25935,0.31987,0.37768,0.43215
2.4,0.02,0.072859,0.14506,0.21589,0.28479,0.35105,0.41422,0.4736
2.55,0.02,0.079202,0.15766,0.23458,0.30932,0.38109,0.4494,0.51347
2.7,0.02,0.085334,0.16984,0.25263,0.33301,0.41008,0.48333,0.55188
2.85,0.02,0.091273,0.18163,0.27011,0.35592,0.43811,0.51611,0.58897
3,0.02,0.09703,0.19306,0.28704,0.37812,0.46525,0.54783,0.62482
3.15,0.02,0.10262,0.20416,0.30347,0.39965,0.49156,0.57856,0.65955
3.3,0.02,0.10805,0.21494,0.31944,0.42056,0.51711,0.60838,0.69322
3.45,0.02,0.11334,0.22543,0.33497,0.44089,0.54193,0.63735,0.72593
3.6,0.02,0.11849,0.23564,0.35008,0.46068,0.56609,0.66554,0.75772
3.75,0.02,0.12351,0.2456,0.36482,0.47997,0.58963,0.69298,0.78868
3.9,0.02,0.1284,0.25532,0.3792,0.49878,0.61258,0.71974,0.81884
4.05,0.02,0.13319,0.26481,0.39324,0.51715,0.63498,0.74584,0.84826
4.2,0.02,0.13787,0.27409,0.40696,0.53509,0.65686,0.77134,0.87699
4.35,0.02,0.14244,0.28316,0.42037,0.55264,0.67825,0.79626,0.90506
4.5,0.02,0.14692,0.29204,0.43351,0.56981,0.69919,0.82064,0.93252
4.65,0.02,0.15131,0.30074,0.44637,0.58663,0.71968,0.84451,0.95939
4.8,0.02,0.15561,0.30927,0.45898,0.60311,0.73977,0.86789,0.98572
4.95,0.02,0.15983,0.31764,0.47135,0.61927,0.75946,0.89081,1.0115
5.1,0.02,0.16397,0.32585,0.48348,0.63513,0.77878,0.9133,1.0368
5.25,0.02,0.16803,0.33391,0.4954,0.6507,0.79774,0.93537,1.0617
5.4,0.02,0.17203,0.34183,0.5071,0.666,0.81637,0.95704,1.086
5.55,0.02,0.17595,0.34961,0.5186,0.68103,0.83468,0.97834,1.11
5.7,0.02,0.17982,0.35727,0.52992,0.69581,0.85267,0.99928,1.1336
5.85,0.02,0.18362,0.3648,0.54105,0.71035,0.87038,1.0199,1.1567
6,0.02,0.18736,0.37221,0.552,0.72466,0.8878,1.0401,1.1795
6.15,0.02,0.19104,0.37951,0.56279,0.73875,0.90495,1.0601,1.2019
6.3,0.02,0.19467,0.3867,0.57341,0.75262,0.92184,1.0797,1.224
6.45,0.02,0.19824,0.39379,0.58388,0.76629,0.93849,1.0991,1.2458
6.6,0.02,0.20176,0.40077,0.5942,0.77977,0.95489,1.1182,1.2672
6.75,0.02,0.20524,0.40766,0.60437,0.79306,0.97107,1.137,1.2884
6.9,0.02,0.20867,0.41446,0.61441,0.80617,0.98702,1.1555,1.3092
7.05,0.02,0.21205,0.42116,0.62432,0.8191,1.0028,1.1738,1.3298
7.2,0.02,0.21539,0.42778,0.63409,0.83187,1.0183,1.1919,1.3501
7.35,0.02,0.21869,0.43431,0.64374,0.84447,1.0336,1.2097,1.3702
7.5,0.02,0.22194,0.44077,0.65327,0.85692,1.0488,1.2273,1.39
7.65,0.02,0.22516,0.44714,0.66269,0.86921,1.0637,1.2447,1.4095
7.8,0.02,0.22834,0.45344,0.67199,0.88136,1.0785,1.2619,1.4288
7.95,0.02,0.23148,0.45967,0.68119,0.89337,1.0931,1.2789,1.4479
8.1,0.02,0.23458,0.46582,0.69028,0.90524,1.1076,1.2957,1.4668
8.25,0.02,0.23766,0.47191,0.69927,0.91697,1.1219,1.3123,1.4854
8.4,0.02,0.24069,0.47793,0.70816,0.92858,1.136,1.3287,1.5039
8.55,0.02,0.2437,0.48388,0.71695,0.94006,1.1499,1.3449,1.5221
8.7,0.02,0.24667,0.48977,0.72565,0.95142,1.1638,1.361,1.5402
8.85,0.02,0.24961,0.4956,0.73426,0.96266,1.1774,1.3769,1.5581
9,0.02,0.25252,0.50137,0.74279,0.97379,1.191,1.3926,1.5757
9.15,0.02,0.25541,0.50709,0.75123,0.9848,1.2044,1.4082,1.5932
